task,order_A,order_B,video,video_path,split,fill_in,shown_to_annotator
1_severity,1,311,38023_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38023_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,2,336,49204_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49204_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,3,200,48031_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48031_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,4,22,49211_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49211_6.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,5,473,50856_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50856_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,6,132,46570_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46570_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,7,340,36653_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36653_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,8,110,33103_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33103_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,9,442,46579_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46579_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,10,432,46076_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46076_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,11,277,47305_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47305_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,12,237,37400_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37400_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,13,193,46239_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46239_5.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,14,230,37413_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37413_6.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,15,196,37172_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37172_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,16,379,36107_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36107_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,17,14,47128_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47128_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,18,35,49431_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49431_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,19,68,47666_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47666_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,20,453,49478_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49478_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,21,479,36021_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36021_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,22,289,50869_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50869_5.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,23,2,49813_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49813_4.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,24,430,37580_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37580_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
