video,video_path,severity_0_to_3,usable_yes_no,knees_forward_at_s,notes
_header,,,,,annotator=<name>; started=<date>; finished=<date>
50218_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50218_1.mp4,,,,
49813_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49813_4.mp4,,,,
36977_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36977_2.mp4,,,,
36738_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36738_3.mp4,,,,
46035_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46035_1.mp4,,,,
50522_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50522_4.mp4,,,,
36584_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36584_1.mp4,,,,
36654_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36654_1.mp4,,,,
36206_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36206_2.mp4,,,,
48802_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48802_1.mp4,,,,
36975_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36975_1.mp4,,,,
37773_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37773_1.mp4,,,,
50279_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50279_1.mp4,,,,
47128_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47128_1.mp4,,,,
47750_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47750_4.mp4,,,,
49240_14,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49240_14.mp4,,,,
36092_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36092_3.mp4,,,,
