content_hash,video_a,class_a,video_b,class_b,video_path,adjudicated_class,notes
c39ea921a764a7ede6fc04bdeabb256755c7dd623daf8ac69775d1b832d17fb7,37044_4,good_form,36836_4,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37044_4.mp4,,
402d3e6f25e8e0a7583624010cf1db541763dda187247c440d75232d607dedfd,50824_2,good_form,48298_2,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50824_2.mp4,,
650a0d64868614c20e9b155a178b7e9242147ef3fe14ca2aa4771148aa0280d1,37037_1,good_form,36828_1,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37037_1.mp4,,
e9d05e7ec3f2036a26331f97efbe3a0813a69ce017f1c033b5501c4de9c17f98,48602_1,posture_fault,50859_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48602_1.mp4,,
0fc5adb73aa775c1ca0a9d09fd50d46af36e02824afb3f3cfa20f0f907b2bcf4,38094_2,good_form,37491_2,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38094_2.mp4,,
330d7d5c6a903e641c6786753ca4ae15aa896a2aaa264176ede723eb4f1fe1ef,37714_1,depth_fault,38114_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37714_1.mp4,,
ea5f595f6d9d7aea07bf74f607436ac8a7a7ab5a36bd7f12407401a8d417fbca,50717_1,posture_fault,50840_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50717_1.mp4,,
222f7b260a5d8b3dabc0c52e67b821d1da0428b8fb36fff82816f0bb58b25502,50857_1,good_form,47794_1,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50857_1.mp4,,
409e3c731b606a0e8a247666e0d89b25da3fc2665ef7db1256d26cde5ee6a013,37457_2,depth_fault,38095_2,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37457_2.mp4,,
19d67ac89bb719e7ce5f71759ea1d416a1f131a9a00180e68d3e8f87fdabcb6a,50843_1,good_form,48209_1,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50843_1.mp4,,
