video,video_path,labelled_start_s,labelled_end_s,observed_start_s,observed_end_s,verdict_accurate_yes_no,notes
_header,,,,,,,annotator=<name>; started=<date>; finished=<date>; task=interval boundary check (do after the severity sheet)
33045_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33045_1.mp4,0.68,2.34,,,,
33166_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33166_1.mp4,1.46,2.80,,,,
33565_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33565_1.mp4,1.20,2.55,,,,
33747_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33747_2.mp4,1.51,2.03,,,,
33747_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33747_2.mp4,0.99,2.39,,,,
33827_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33827_1.mp4,2.51,5.10,,,,
33891_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33891_1.mp4,0.55,2.30,,,,
36131_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36131_1.mp4,0.43,1.72,,,,
36261_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36261_1.mp4,0.69,5.56,,,,
36533_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36533_5.mp4,0.74,1.89,,,,
36534_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36534_5.mp4,0.68,1.86,,,,
36821_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36821_3.mp4,1.07,3.55,,,,
36858_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36858_1.mp4,1.29,4.19,,,,
36889_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36889_2.mp4,1.68,5.03,,,,
36983_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36983_4.mp4,0.80,1.70,,,,
37094_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37094_1.mp4,3.16,5.27,,,,
37172_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37172_2.mp4,0.68,1.62,,,,
37180_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37180_2.mp4,0.98,2.34,,,,
37206_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37206_3.mp4,0.97,1.73,,,,
37300_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37300_6.mp4,1.73,2.63,,,,
37478_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37478_3.mp4,0.66,2.74,,,,
37478_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37478_3.mp4,0.87,2.28,,,,
37935_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37935_2.mp4,1.71,2.73,,,,
38032_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38032_1.mp4,0.82,1.63,,,,
46076_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46076_3.mp4,1.65,2.94,,,,
46186_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46186_4.mp4,2.31,5.20,,,,
46217_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46217_1.mp4,1.00,4.56,,,,
46248_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46248_5.mp4,0.92,2.65,,,,
46252_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46252_1.mp4,2.72,4.06,,,,
46435_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46435_1.mp4,2.25,3.27,,,,
46509_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46509_1.mp4,2.49,4.40,,,,
46549_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46549_1.mp4,2.00,2.81,,,,
46610_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46610_2.mp4,5.02,6.46,,,,
46655_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46655_1.mp4,5.56,6.31,,,,
48054_13,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48054_13.mp4,0.93,2.41,,,,
48074_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48074_1.mp4,1.07,2.96,,,,
48093_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48093_4.mp4,0.72,4.74,,,,
48102_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48102_2.mp4,1.08,3.37,,,,
48379_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48379_1.mp4,1.15,2.36,,,,
48601_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48601_3.mp4,3.19,5.25,,,,
48763_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48763_3.mp4,0.92,1.77,,,,
48851_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48851_1.mp4,1.28,3.63,,,,
48993_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48993_1.mp4,1.49,2.86,,,,
49045_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49045_2.mp4,1.74,3.84,,,,
49091_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49091_1.mp4,1.57,2.56,,,,
49268_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49268_1.mp4,2.94,4.06,,,,
49406_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49406_2.mp4,1.09,3.15,,,,
49547_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49547_5.mp4,0.85,1.96,,,,
49547_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49547_5.mp4,2.46,3.16,,,,
49631_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49631_1.mp4,2.87,3.87,,,,
50131_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50131_2.mp4,2.15,3.06,,,,
50326_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50326_1.mp4,2.75,4.03,,,,
50762_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50762_2.mp4,2.69,4.46,,,,
