video,split,corpus_class,dataset_knees_forward_intervals_s,dataset_knees_inward_intervals_s,any_fault_interval,posture_v1_prob_fault,posture_v1_says_fault_at_0.525,rule_knees_forward,rule_peak_s,rule_peak_inside_labelled_interval,view,frames_dir,video_path
32903_8,train,depth_fault,[],[],no,0.613,yes,NOT_OBSERVED,1.267,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/32903_8,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32903_8.mp4
32939_2,train,depth_fault,[],[],no,0.594,yes,UNCERTAIN,1.133,,front,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/32939_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32939_2.mp4
32964_1,train,depth_fault,"[[1.15, 2.51]]",[],yes,0.754,yes,OBSERVED,1.833,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/32964_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32964_1.mp4
32971_2,train,depth_fault,"[[0.62, 2.56]]",[],yes,0.499,no,OBSERVED,0.933,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/32971_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32971_2.mp4
32975_6,train,depth_fault,[],[],no,0.411,no,OBSERVED,0.867,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/32975_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32975_6.mp4
32977_1,train,depth_fault,"[[0.69, 2.13]]",[],yes,0.577,yes,OBSERVED,1.167,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/32977_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32977_1.mp4
32979_1,train,depth_fault,"[[0.55, 2.39]]",[],yes,0.048,no,NOT_OBSERVED,1.633,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/32979_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32979_1.mp4
32990_6,train,depth_fault,"[[1.39, 2.35]]",[],yes,0.334,no,OBSERVED,1.9,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/32990_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32990_6.mp4
32991_2,train,depth_fault,"[[3.63, 5.18]]",[],yes,0.002,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/32991_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32991_2.mp4
32995_3,train,depth_fault,"[[2.16, 4.99]]",[],yes,0.850,yes,NOT_OBSERVED,3.633,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/32995_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32995_3.mp4
32996_2,train,depth_fault,[],[],no,0.160,no,UNCERTAIN,1.4,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/32996_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32996_2.mp4
33006_2,train,depth_fault,"[[1.55, 3.36]]",[],yes,0.900,yes,OBSERVED,1.933,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33006_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33006_2.mp4
33010_3,train,depth_fault,"[[0.51, 1.68]]",[],yes,0.151,no,NOT_OBSERVED,1.1,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33010_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33010_3.mp4
33024_2,train,depth_fault,"[[0.96, 2.94]]","[[1.61, 2.56], [1.57, 2.34]]",yes,0.720,yes,OBSERVED,1.2,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33024_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33024_2.mp4
