video,content_hash,split,current_class,current_posture_bit,video_path
33035_4,949a7373b885ab1fc7ef547932b25ca4ac539c8629c67efab6ff6bd9b5b41363,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33035_4.mp4
33088_1,c0321296f144d6001e09322b83f4598ad78f671255546ad9254d4a7ba10b1bcc,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33088_1.mp4
33194_1,962b34fbdf115d7386f5e432494d50dca217b17976f8b3ebbf672c5ba42509eb,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33194_1.mp4
33229_2,9d851475f70e3e8ac837b2afcca2ba0e137473f8da53438be4699ed2ad4cc72c,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33229_2.mp4
33297_2,ac00a0f597e8ce0adce4504a53292a3941bc771af3caa38c8f222a45e329ea33,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33297_2.mp4
33316_1,cfd165fb325301102a3e33248a24e85717a0dd080dcf3480e6184fac6101e666,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33316_1.mp4
33322_3,58c7407e7274abc69b33e6929ceae7818b666da247b4d852bee7138773c29930,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33322_3.mp4
33348_2,a2999329c802d9c6a8e19cd638afc7bceb95ebe22506fd095f721e1b44e198bc,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33348_2.mp4
33387_1,46b3a1f172c6154637cd61d4c20da0da1cf790e9f0a97f770d9ea91c4a57b3a9,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33387_1.mp4
33454_1,8594bfee3653b86e981764a69d16cf5183dbf54587390eeb5434b33bb166cfa8,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33454_1.mp4
33483_2,c6b303a45f4dc574ec2dc316837cec7e35df466f833e73f4ad21dd4a41c716a9,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33483_2.mp4
33499_1,1614191e7573aae834865fcf269ddb05527e9bbc9e53a4cbc0804754b9324438,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33499_1.mp4
33503_2,a3f01cadcde2cddd6f70d560cfcdc726d436c930f23167ea8af7df53637b915e,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33503_2.mp4
33555_5,629991f385b272668ce4f4b54e4a64c6dbf6b96e01b44a33fa235d371f9403be,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33555_5.mp4
33626_1,7782ec441494ab6e397bb8e6c8ea0a8acd4423557761d4b3ec3f58a2b8ea3e95,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33626_1.mp4
33630_2,0b89512fc84df6e6a9d32986dae773a0d2f7c4a5bfd18b0097b0ea84690866da,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33630_2.mp4
33634_10,bb038ea4d2eabb909ea764ea82a512513e1622319efd9bb04d6c448f7f45fbf7,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33634_10.mp4
33663_3,3c792702fcc7e523cde7e1f98b191ca00cddbfe04917c5498e4fbcf6f031f4af,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33663_3.mp4
33725_2,501260af19a23fa8a7be202c44669260079e3eb0a3c3cd68bf8ff4e3741c7a09,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33725_2.mp4
33743_1,d58dbcc5d7a9f1d5fae975c0283a03ad2499f58718904e7aa6bd59379e1392fa,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33743_1.mp4
33758_1,5044e70fdbdb9dbf059d636c7fe6df89be34c613cb306d15275194838624001d,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33758_1.mp4
33775_3,24293db6d3383834ce5387f941258112e7ab74a3da69df91aae0e061fa129f98,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33775_3.mp4
33793_6,7641cae2e3b78e14ee94885da817418841dbe43394ef834e20f11a8a3558d21f,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33793_6.mp4
